,index,위경도 missing
122,925,서울특별시 중구 을지로2가 199-13번지 4~9층 
123,927,서울특별시 중구 쌍림동 3-1번지 3~6층 
124,930,서울특별시 중구 남대문로5가 12-21번지 
125,970,서울특별시 중구 남대문로5가 217-0번지 
126,978,서울특별시 중구 남대문로5가 552번지 
127,987,서울특별시 중구 광희동1가 150-5번지 외 4필지 
128,990,서울특별시 중구 명동1가 10-1 외 1필지 명동센트럴빌딩
129,1005,"서울특별시 중구 북창동 134-1 4,5,6층"
130,1008,서울특별시 중구 광희동2가 43-1번지 3~6층 
131,1010,서울특별시 중구 을지로5가 273-4번지 2~20층 
132,1020,서울특별시 중구 충무로4가 131-6번지 6~10층 
133,1022,서울특별시 중구 명동1가 6-0번지 
134,1041,서울특별시 중구 회현동1가 194-19 AK타워 B동 9층-24층 
135,1044,서울특별시 중구 충무로2가 66-9번지 4~5층 
136,1048,"서울특별시 중구 주교동 125-2 3,4,5층 "
137,1049,서울특별시 중구 회현동1가 70-0번지 
138,1059,서울특별시 중구 초동 72-10 3~16층 
139,1062,서울특별시 중구 을지로3가 345-2번지 
140,1069,"서울특별시 중구 명동1가 38-1 5,6층"
141,1083,"서울특별시 중구 충무로1가 25-50번지 3,4,5층 "
142,1112,서울특별시 중구 명동1가 59-1번지 3~5층 
143,1116,서울특별시 중구 황학동 2143번지 2~7층 
144,1123,서울특별시 중구 주교동 89-0번지 
145,1129,서울특별시 중구 회현동1가 33-4번지 
146,1132,서울특별시 중구 회현동2가 72-8번지 
147,1133,서울특별시 중구 수표동 67-25번지 
148,1134,서울특별시 중구 황학동 767-0번지 
149,1163,서울특별시 중구 을지로5가 125-0번지 
150,1167,"서울특별시 중구 충무로1가 24-28번지 11, 12, 13층 "
151,1182,서울특별시 중구 을지로2가 148-29번지 56 
152,1183,서울특별시 중구 을지로6가 18-100번지 
153,1187,서울특별시 중구 충정로1가 74-0번지 
154,1188,서울특별시 중구 남대문로5가 12-15번지 
155,1193,서울특별시 중구 신당동 291-50번지 
156,1200,서울특별시 중구 남대문로3가 91-1번지 
157,1212,서울특별시 중구 황학동 2509-0번지 
158,1213,서울특별시 중구 남대문로5가 222-0번지 
159,1218,서울특별시 중구 을지로6가 17-2번지 18?20층 
160,1219,서울특별시 중구 주교동 89-0번지 
161,1220,서울특별시 중구 회현동2가 10-14번지 
162,1226,서울특별시 중구 중림동 411번지 
163,1230,서울특별시 중구 남대문로5가 221번지 
164,1231,서울특별시 중구 을지로6가 18-111번지 
165,1236,서울특별시 중구 남대문로5가 17-3번지 외 3필지 
166,1237,서울특별시 중구 회현동1가 29-2번지 
