,index,위경도 missing
128,827,서울특별시 종로구 관수동 27-7번지 
129,829,서울특별시 종로구 무악동 46-45번지 
130,831,서울특별시 종로구 인사동 87번지 
131,834,서울특별시 종로구 익선동 30-1 
132,835,서울특별시 종로구 무악동 45-47번지 
133,836,서울특별시 종로구 공평동 59번지 
134,841,서울특별시 종로구 홍파동 52-15번지 
135,843,서울특별시 종로구 교북동 89번지 
136,869,"서울특별시 중구 충무로3가 24-13번지 2,3,4층 "
137,895,서울특별시 중구 충무로1가 24-6 
138,896,서울특별시 송파구 방이동 34-1
139,907,"서울특별시 중구 회현동1가 199-6 모빅빌딩 4~6층,8~9층"
140,909,서울특별시 중구 충무로2가 12-27 
141,924,서울특별시 중구 명동2가 33-1 4~13층 
142,925,서울특별시 중구 을지로2가 199-13번지 4~9층 
143,927,서울특별시 중구 쌍림동 3-1번지 3~6층 
144,930,서울특별시 중구 남대문로5가 12-21번지 
145,941,서울특별시 중구 충무로1가 24-1 밀레오레 명동
146,948,서울특별시 중구 충무로2가 12-27 
147,951,서울특별시 중구 충무로5가 19-5 
148,970,서울특별시 중구 남대문로5가 217-0번지 
149,1005,"서울특별시 중구 북창동 134-1 4,5,6층"
150,1010,서울특별시 중구 을지로5가 273-4번지 2~20층 
151,1020,서울특별시 중구 충무로4가 131-6번지 6~10층 
152,1028,서울특별시 중구 충무로5가 19-5 광암라이피아 2~5층 
153,1032,서울특별시 중구 남대문로4가 17-23번지 
154,1047,서울특별시 중구 충무로2가 12-8 2~4층
155,1048,"서울특별시 중구 주교동 125-2 3,4,5층 "
156,1051,서울특별시 마포구 서교동 463-1
157,1062,서울특별시 중구 을지로3가 345-2번지 
158,1083,"서울특별시 중구 충무로1가 25-50번지 3,4,5층 "
159,1089,서울특별시 중구 명동2가 52-7 4~6층 
160,1096,서울특별시 중구 을지로6가 18-130번지 기승빌딩 7~9층 
161,1099,서울특별시 중구 광희동2가 360번지 
162,1123,서울특별시 중구 주교동 89-0번지 
163,1129,서울특별시 중구 회현동1가 33-4번지 
164,1132,서울특별시 중구 회현동2가 72-8번지 
165,1133,서울특별시 중구 수표동 67-25번지 
166,1134,서울특별시 중구 황학동 767-0번지 
167,1156,서울특별시 중구 북창동 122
168,1163,서울특별시 중구 을지로5가 125-0번지 
169,1181,서울특별시 영등포구 당산동3가 122-2
170,1182,서울특별시 중구 을지로2가 148-29번지 56 
171,1183,서울특별시 중구 을지로6가 18-100번지 
172,1187,서울특별시 중구 충정로1가 74-0번지 
173,1188,서울특별시 중구 남대문로5가 12-15번지 
174,1193,서울특별시 중구 신당동 291-50번지 
175,1200,서울특별시 중구 남대문로3가 91-1번지 
176,1212,서울특별시 중구 황학동 2509-0번지 
177,1213,서울특별시 중구 남대문로5가 222-0번지 
178,1219,서울특별시 중구 주교동 89-0번지 
179,1220,서울특별시 중구 회현동2가 10-14번지 
180,1226,서울특별시 중구 중림동 411번지 
181,1230,서울특별시 중구 남대문로5가 221번지 
182,1231,서울특별시 중구 을지로6가 18-111번지 
183,1237,서울특별시 중구 회현동1가 29-2번지 
184,1244,서울특별시 중구 광희동1가 256-1 
185,1246,서울특별시 중구 남대문로5가 716-0번지 
186,1247,서울특별시 중구 을지로6가 18-44번지 
187,1250,서울특별시 중구 순화동 34-1번지 
188,1251,서울특별시 중구 남대문로5가 14-5번지 
189,1254,서울특별시 중구 태평로2가 301-0번지 
190,1260,서울특별시 중구 회현동2가 72-8번지 
191,1262,서울특별시 중구 황학동 1591-3번지 
192,1268,서울특별시 중구 예장동 1-43번지 
193,1270,서울특별시 중구 남대문로5가 12-13번지 
194,1275,서울특별시 중구 중림동 423번지 
195,1280,서울특별시 중구 북창동 20-1 3-4층 
196,1298,서울특별시 중구 수하동 29-5번지 
197,1302,서울특별시 중구 광희동2가 33-1번지 
198,1303,서울특별시 중구 남대문로5가 760번지 
199,1306,서울특별시 중구 을지로7가 112-1번지 
200,1312,서울특별시 중구 삼각동 41번지 
201,1313,서울특별시 중구 을지로4가 245-6번지 
202,1314,서울특별시 중구 을지로7가 87-0번지 
203,1316,서울특별시 중구 장충동2가 19번지 
204,1317,서울특별시 중구 회현동1가 37-6번지 
205,1324,서울특별시 중구 황학동 2368-0번지 
206,1326,서울특별시 성동구 행당동 183-0번지 
207,1329,서울특별시 중구 회현동2가 10-13번지 
208,1332,서울특별시 중구 수표동 88-3번지 
209,1333,서울특별시 중구 회현동2가 10-33번지 
210,1335,서울특별시 중구 회현동1가 196-4번지 
211,1341,서울특별시 중구 회현동2가 10-13번지 
212,1343,서울특별시 중구 회현동1가 14-5번지 
213,1344,서울특별시 강서구 화곡동 904-16번지 
214,1346,서울특별시 중구 남대문로5가 684-0번지 
215,1347,서울특별시 중구 남대문로5가 219-0번지 
216,1351,서울특별시 중구 남대문로5가 737-0번지 
217,1352,서울특별시 중구 저동1가 7-3번지 
218,1354,서울특별시 중구 을지로7가 126-1번지 
219,1357,서울특별시 중구 을지로2가 28-2번지 
220,1358,서울특별시 중구 을지로7가 101-0번지 
221,1361,서울특별시 중구 광희동2가 264-0번지 
222,1362,서울특별시 중구 을지로4가 310-1번지 
223,1365,서울특별시 중구 신당동 371-436번지 
224,1366,서울특별시 중구 을지로2가 148-17번지 
225,1370,서울특별시 중구 회현동2가 9-9번지 
226,1375,서울특별시 중구 흥인동 70번지 1/5 
227,1376,서울특별시 중구 황학동 945번지 
228,1378,서울특별시 중구 신당동 292-146번지 
229,1380,서울특별시 중구 다동 162-1번지 
230,1381,서울특별시 중구 남대문로5가 218-0번지 
231,1382,서울특별시 중구 을지로6가 21-32번지 
232,1392,서울특별시 중구 중림동 130-0번지 
233,1394,서울특별시 중구 초동 49-8번지 
234,1397,서울특별시 중구 을지로5가 102-1번지 
235,1402,서울특별시 중구 회현동1가 37-10번지 
236,1409,서울특별시 중구 중림동 156-0번지 
237,1417,서울특별시 용산구 한강로2가 337-0번지 
238,1449,서울특별시 용산구 갈월동 69-27 호텔 더 디자이너스 지상 1층~20층 호텔 
239,1481,서울특별시 마포구 공덕동 429-9번지 
240,1508,서울특별시 용산구 용산동2가 5-1400번지 
241,1513,서울특별시 용산구 한강로2가 388-0번지 
242,1515,서울특별시 용산구 한강로2가 385-0번지 
243,1521,서울특별시 용산구 한강로2가 394-2번지 
244,1522,서울특별시 용산구 한강로2가 371번지 
245,1523,서울특별시 용산구 남영동 산 96-2번지 
246,1524,서울특별시 용산구 이태원동 산 455-8번지 
247,1526,서울특별시 용산구 한강로2가 392-3번지 
248,1530,서울특별시 용산구 한강로2가 122-4번지 
249,1531,서울특별시 용산구 한강로2가 324-5번지 
250,1539,서울특별시 용산구 원효로1가 130-11번지 
251,1540,서울특별시 용산구 한강로2가 346-1번지 
252,1541,서울특별시 용산구 한강로2가 346-0번지 
253,1542,서울특별시 용산구 한강로2가 334-0번지 
254,1543,서울특별시 용산구 한강로2가 338-0번지 
255,1546,서울특별시 용산구 원효로2가 91-15번지 
256,1550,서울특별시 용산구 문배동 10-7번지 
257,1553,서울특별시 용산구 한강로2가 386번지 
258,1554,서울특별시 용산구 한강로2가 374-0번지 
259,1555,서울특별시 용산구 한강로2가 215-3 
260,1556,서울특별시 용산구 한강로2가 383-0번지 
261,1557,서울특별시 용산구 한강로2가 384-0번지 
262,1558,서울특별시 용산구 한강로2가 379-0번지 
263,1559,서울특별시 용산구 한강로2가 92-2번지 
264,1575,서울특별시 용산구 후암동 441-3번지 
265,1576,서울특별시 용산구 한강로2가 393-0번지 
266,1577,서울특별시 용산구 한남동 732-107 
267,1579,서울특별시 용산구 한강로2가 393-3번지 
268,1580,서울특별시 용산구 한강로3가 63-45번지 
269,1582,서울특별시 용산구 한강로2가 340-2번지 
270,1583,서울특별시 용산구 한강로2가 368-3번지 
271,1585,서울특별시 용산구 한강로2가 366-1번지 
272,1587,서울특별시 용산구 한강로2가 344-0번지 
273,1589,서울특별시 용산구 한강로3가 63-259번지 
274,1592,서울특별시 용산구 한강로3가 63-228번지 
275,1594,서울특별시 용산구 한강로2가 370번지 
276,1595,서울특별시 용산구 한강로2가 400-5번지 
277,1596,서울특별시 용산구 한강로2가 334-2번지 
278,1597,서울특별시 용산구 한강로2가 402번지 
279,1602,서울특별시 용산구 한강로2가 395-2번지 
280,1603,서울특별시 용산구 한강로2가 396-3번지 
