,사업장명,지번주소,도로명주소,위도,경도,인허가일자,인허가취소일자,영업상태코드,폐업일자,휴업시작일자,휴업종료일자,재개업일자,데이터갱신일자,업태구분명,한실수,양실수,욕실수
27,붐(BOOM)모텔,서울특별시 강북구 미아동 35-29,서울특별시 강북구 도봉로 34-7 (미아동),37.6123488511151,127.030642026316,19721201,,1,,,,,2021-12-03 22:00:00.0,여관업,,,
28,호스텔 바닐라 2,서울특별시 종로구 숭인동 66-8번지 ,서울특별시 종로구 종로57길 34-8 (숭인동),37.5749210766837,127.016329393985,19701026,,1,,,,,2019-06-06 02:40:00.0,여관업,10.0,0.0,10.0
29,미니호텔달콤1,서울특별시 종로구 창신동 449-1번지 ,서울특별시 종로구 종로48길 26-4 (창신동),37.5710604844949,127.0118801362,19861201,,1,,,,,2018-08-31 23:59:59.0,여인숙업,12.0,0.0,1.0
30,나그네 하우스,서울특별시 종로구 체부동 64,서울특별시 종로구 자하문로1나길 6 (체부동),37.5767817846754,126.971635081943,1999-11-15,,1,,,,,2022-12-03 00:08:00.0,여관업,,,
31,하임 1호점,서울특별시 강서구 화곡동 937-22,서울특별시 강서구 월정로20길 12 (화곡동),37.5295757595412,126.839248492012,2023-03-20,,1,,,,,2022-12-02 22:02:00.0,여관업,,,
32,하임 2호점,서울특별시 강서구 화곡동 937-23,서울특별시 강서구 월정로20길 14 (화곡동),37.5295440509219,126.839385791717,2023-03-20,,1,,,,,2022-12-02 22:02:00.0,여관업,,,
33,에이치에비뉴 호텔 건대점,서울특별시 광진구 화양동 24-15,서울특별시 광진구 동일로 156 (화양동),37.5460366737783,127.066568344155,2018-01-05,,1,,,,,2022-12-02 23:05:00.0,관광호텔,,,
34,스테이션 호텔,서울특별시 구로구 구로동 500-20,서울특별시 구로구 구로중앙로 135-4 (구로동),37.4998784902225,126.882981403692,1975-06-20,,1,,,,,2022-12-02 23:05:00.0,여인숙업,,,
35,부흥,서울특별시 동작구 노량진동 211-47 외1필지,"서울특별시 동작구 만양로14길 20 (노량진동,외1필지)",37.5116671951986,126.945453817995,1971-06-30,,3,2023-03-13,,,,2022-12-02 23:05:00.0,여관업,,,
36,카누,서울특별시 은평구 응암동 749-49,서울특별시 은평구 응암로12길 11-6 (응암동),37.5880363079374,126.918346752024,1971-09-03,,3,2023-03-27,,,,2022-12-04 23:00:00.0,여관업,,,
37,나무호텔,서울특별시 광진구 광장동 327-1,서울특별시 광진구 아차산로76가길 12 (광장동),37.5473112429539,127.107200169131,2023-01-31,,1,,,,,2022-12-02 00:02:00.0,관광호텔,,,
38,써니게스트하우스 서울시티,서울특별시 중구 을지로3가 5-14 2~5층,"서울특별시 중구 충무로9길 41 (을지로3가, 2~5층)",37.5667002137125,126.990157417213,2016-12-15,,3,2023-03-21,,,,2022-12-02 22:03:00.0,숙박업 기타,,,
39,서울엔호스텔,"서울특별시 중구 오장동 139-20 삼덕빌딩 4,5,6층","서울특별시 중구 동호로 343, 4,5,6층 (오장동, 삼덕빌딩)",,,2015-03-11,,3,2023-03-21,,,,2022-12-02 22:03:00.0,숙박업 기타,,,
40,에로스,서울특별시 관악구 신림동 1433-105,서울특별시 관악구 남부순환로 1591-8 (신림동),37.4844807640547,126.927214753328,1986-01-07,,1,,,,,2022-12-02 22:03:00.0,여관업,,,
41,리츠,서울특별시 중랑구 면목동 170-1,서울특별시 중랑구 동일로 567 (면목동),37.5809919174248,127.07923979939,1983-09-08,,1,,,,,2022-12-02 22:03:00.0,여관업,,,
42,홈즈남산,서울특별시 중구 필동1가 43-1,"서울특별시 중구 충무로 3, 3~19층 (필동1가)",,,2023-03-21,,1,,,,,2022-12-03 21:00:00.0,숙박업(생활),,,
43,샤-인,서울특별시 강북구 미아동 775-26,서울특별시 강북구 솔매로 62-3 (미아동),37.6246837277324,127.019155917485,19701228,,1,,,,,2021-12-05 23:00:00.0,여관업,,,
44,르서울호텔,서울특별시 중구 북창동 13-2,"서울특별시 중구 남대문로1길 56, 3~9층 (북창동)",,,2023-02-01,,1,,,,,2022-12-02 00:04:00.0,일반호텔,,,
45,우주 남산점,서울특별시 중구 남산동2가 36-6 1~2층,"서울특별시 중구 소공로6길 29 (남산동2가, 1~2층)",37.5586040972384,126.984766562845,20170215,,1,,,,,2021-12-06 00:04:00.0,관광호텔,,,
46,로카우스호텔,서울특별시 용산구 한강로3가 40-708,서울특별시 용산구 한강대로23길 25 (한강로3가),37.5276397334571,126.964349149383,2023-03-22,,1,,,,,2022-12-02 22:04:00.0,관광호텔,,,
47,레미,서울특별시 강동구 길동 449-2,서울특별시 강동구 진황도로 92-7 (길동),37.5357334620212,127.136483459194,19990507,,1,,,,,2021-12-05 23:07:00.0,여관업,,,
48,하이스테이 종로 1233,서울특별시 종로구 숭인동 1233,서울특별시 종로구 보문로 15-1 (숭인동),37.5771071357,127.022968731687,1988-07-21,,1,,,,,2022-12-02 22:04:00.0,여관업,,,
49,독립문호텔,"서울특별시 종로구 교북동 1-12 45,43","서울특별시 종로구 통일로 220 (교북동,45,43)",37.5727219336799,126.960195889012,19690621,,1,,,,,2021-12-08 22:08:00.0,여관업,,,
50,더퍼스트스테이 호텔,서울특별시 강서구 마곡동 797-12,서울특별시 강서구 마곡동로4길 23 (마곡동),37.5596431100254,126.836199032381,20170214,,1,,,,,2021-12-07 21:01:00.0,숙박업(생활),,,
51,라마다앙코르서울마곡,서울특별시 강서구 마곡동 760-1 (힐스테이트 에코 마곡나루역),"서울특별시 강서구 마곡중앙로 161-11, 지하1~14층 (마곡동, 가양1동, 힐스테이트 에코 마곡나루역)",37.5679745986878,126.826720979429,20170118,,3,20220405,,,,2021-12-04 00:07:00.0,숙박업(생활),,,
52,휴모텔,서울특별시 금천구 가산동 42-20,서울특별시 금천구 벚꽃로40길 26 (가산동),37.4823741750001,126.88426008908,1973-09-10,,1,,,,,2022-12-02 22:04:00.0,여인숙업,,,
53,호텔컬리넌건대,서울특별시 광진구 군자동 350-6,서울특별시 광진구 동일로 212 (군자동),37.5505530355034,127.069050355206,20150921,,1,,,,,2021-10-31 00:02:00.0,관광호텔,,,
54,신라스테이,서울특별시 동작구 신대방동 698 신라스테이해링턴타워,"서울특별시 동작구 시흥대로 596 (신대방동, 신라스테이해링턴타워)",37.4856282661036,126.904310488692,20160202,,1,,,,,2021-12-03 23:02:00.0,관광호텔,,,
