,사업장명,관광숙박업상세명,건물용도명,지번주소,도로명주소,위도,경도,객실수,시설면적,시설규모,인허가일자,인허가취소일자,영업상태코드,폐업일자,휴업시작일자,휴업종료일자,재개업일자,데이터갱신일자
286,호텔 더 디자이너스,관광호텔업,숙박시설,서울특별시 용산구 갈월동 69-27 ,서울특별시 용산구 한강대로 305 (갈월동),37.5455498919363,126.971585248432,100.0,5006.45,5006.0,20170125,,1,,,,,2021-08-04 02:40:00.0
287,케이 그랜드 호텔 서울(K-Grand Hotel Seoul),,,서울특별시 용산구 동자동 43-59,"서울특별시 용산구 한강대로 385, 3~4층 (동자동)",37.5528367870586,126.972254934739,,,,20161227,,1,,,,,2021-12-08 23:01:00.0
288,(주)서부티엔디 그랜드 머큐어 앰버서더 서울 용산,,,서울특별시 용산구 한강로3가 40-969,"서울특별시 용산구 청파로20길 95 (한강로3가, 서울드래곤시티)",37.5319146846199,126.962788981096,,,,20170929,,1,,,,,2022-11-30 23:03:00.0
289,(주)조선호텔앤리조트 포포인츠 조선 서울역,,,서울특별시 용산구 동자동 56,서울특별시 용산구 한강대로 366 (동자동),37.5508614716888,126.972783927831,,,,20150424,,1,,,,,2022-11-30 23:03:00.0
290,몬드리안 서울 이태원,,,서울특별시 용산구 이태원동 22-76,서울특별시 용산구 장문로 23 (이태원동),37.5289634499773,126.993294700444,,,,1998-08-22,,1,,,,,2022-12-05 00:04:00.0
291,(주)서부티엔디 노보텔 스위트 앰배서더 서울 용산,가족호텔업,숙박시설,서울특별시 용산구 한강로3가 40-969번지 ,"서울특별시 용산구 청파로20길 95 (한강로3가, 서울드래곤시티)",37.5319146846199,126.962788981096,286.0,185482.49,185482.0,20170929,,1,,,,,2020-06-12 02:40:00.0
292,호텔 이노스테이,관광호텔업,숙박시설,서울특별시 성동구 용답동 68-2 ,서울특별시 성동구 천호대로 302 (용답동),37.5656666567543,127.053755178391,54.0,3454.0,3454.0,20161209,,3,20210831,,,,2021-09-11 02:40:00.0
293,비젼관광호텔,관광호텔업,숙박시설,서울특별시 성동구 도선동 2번지 비전호텔 ,"서울특별시 성동구 고산자로 277 (도선동, 비전호텔)",37.5644502581506,127.035853332613,64.0,2499.06,2499.0,20050429,,3,20200428,,,,2020-04-30 02:40:00.0
294,아모렉스 관광호텔,관광호텔업,호텔,"서울특별시 성동구 도선동 72번지 외 2필지(73, 74번지) ","서울특별시 성동구 왕십리로20길 19 (도선동, 아모렉스 관광호텔)",,,56.0,3928.47,3928.0,20080909,,1,,,,,2019-04-27 02:40:00.0
295,새턴호텔(SATURN HOTEL),관광호텔업,숙박시설,서울특별시 성동구 용답동 228-6번지 ,서울특별시 성동구 자동차시장1길 29 (용답동),37.5614392563362,127.060842679255,30.0,1582.67,1583.0,20130205,,1,,,,,2019-10-10 02:40:00.0
296,케이그랜드 호스텔(K-Grand Hostel),호스텔업,,서울특별시 성동구 하왕십리동 966-68번지 ,"서울특별시 성동구 왕십리로 339-1, 6~10층 (하왕십리동)",37.5630176126847,127.03198998822,22.0,640.3,640.0,20170307,,1,,,,,2020-01-04 02:40:00.0
297,호텔스타건대,관광호텔업,숙박시설,서울특별시 광진구 구의동 633-4번지 ,서울특별시 광진구 광나루로30길 3 (구의동),37.5448931162715,127.082435046814,39.0,1535.16,1535.0,20171226,,3,20191021,,,,2019-10-24 02:40:00.0
298,한강관광호텔,관광호텔업,,서울특별시 광진구 광장동 188-2번지 ,서울특별시 광진구 아차산로78길 147 (광장동),37.5474326193749,127.10944613989,,,,20010322,,3,20060828,,,,2019-05-16 02:40:00.0
299,(주)워커힐,,,서울특별시 광진구 광장동 산 21-0번지 ,,,,,,,20001108,,3,20060828,,,,2018-08-31 23:59:59.0
300,한강관광호텔,관광호텔업,호텔,서울특별시 광진구 광장동 188-2번지 4통3반 한강관광호텔 ,서울특별시 광진구 아차산로78길 147 (광장동),37.5474326193749,127.10944613989,116.0,16289.85,16290.0,20010220,,3,20200121,,,,2020-01-24 02:40:00.0
301,더 클래식 500 펜타즈,관광호텔업,숙박시설,서울특별시 광진구 자양동 227-342번지 ,서울특별시 광진구 능동로 90 (자양동),37.5387886228742,127.071136706369,84.0,30402.74,30403.0,20120509,,1,,,,,2018-08-31 23:59:59.0
302,호텔 컬리넌 왕십리,,,서울특별시 성동구 도선동 86,서울특별시 성동구 무학로2길 47 (도선동),37.5626318175411,127.034815354151,,,,20131223,,1,,,,,2021-12-08 23:01:00.0
303,호텔 포코(POCO),,,서울특별시 성동구 성수동2가 317-5,서울특별시 성동구 성수이로 96 (성수동2가),37.543452457472,127.057044375115,,,,20140922,,3,20221230,,,,2022-12-01 00:01:00.0
304,호텔더디자이너스건대,관광호텔업,,서울특별시 광진구 중곡동 638-3번지 ,서울특별시 광진구 천호대로 521 (중곡동),37.5586815011241,127.076604466456,75.0,5568.11,5568.0,20160614,,1,,,,,2019-06-06 02:40:00.0
305,호텔부티크나인,관광호텔업,호텔,서울특별시 광진구 능동 276-1 ,서울특별시 광진구 천호대로 560 (능동),37.556531722677,127.080132872127,86.0,5959.76,5960.0,20170116,,1,,,,,2021-05-05 02:40:00.0
306,호텔더디자이너스프리미어건대,관광호텔업,호텔,서울특별시 광진구 화양동 23-15 ,서울특별시 광진구 동일로 172 (화양동),37.5473360290736,127.067319078571,100.0,4762.55,4763.0,20180205,,1,,,,,2020-09-10 02:40:00.0
307,(주)서부티엔디 이비스 스타일 앰배서더 서울 용산,,,서울특별시 용산구 한강로3가 40-969 서울드래곤시티,"서울특별시 용산구 청파로20길 95, 서울드래곤시티 (한강로3가)",37.5319146846199,126.962788981096,,,,2017-09-29,,1,,,,,2022-12-02 23:09:00.0
