,사업장명,지번주소,도로명주소,위도,경도,인허가일자,인허가취소일자,영업상태코드,폐업일자,휴업시작일자,휴업종료일자,재개업일자
567,호텔 컬리넌 역삼,서울특별시 강남구 역삼동 720-23번지 ,서울특별시 강남구 언주로87길 11 (역삼동),37.5013880401193,127.0420854974,20130726,,1,,,,
568,호텔안테룸서울,서울특별시 강남구 신사동 561-19 ,서울특별시 강남구 도산대로 153 (신사동),37.518851159648,127.02521910677,20200812,,1,,,,
569,그랜드인터컨티넨탈 서울 파르나스,서울특별시 강남구 삼성동 159-8 ,"서울특별시 강남구 테헤란로 521 (삼성동, 그랜드인터콘티넨탈호텔)",37.509047757274,127.060892874689,20030526,,1,,,,
570,베스트웨스턴 프리미어 강남호텔,서울특별시 강남구 논현동 205-9번지 ,"서울특별시 강남구 봉은사로 139 (논현동, 베스트웨스턴 강남호텔)",37.5066243155006,127.029648384721,20050309,,1,,,,
571,라까사호텔,서울특별시 강남구 신사동 527-2 ,"서울특별시 강남구 도산대로1길 83 (신사동, 까사미아호텔)",37.5219901573521,127.019548864743,20071211,,1,,,,
572,프리마관광호텔,서울특별시 강남구 청담동 52-3 프리마호텔,"서울특별시 강남구 도산대로 536, 프리마호텔 (청담동)",37.5241804495786,127.051051097026,19880907,,3,20220516,,,
573,선샤인 관광호텔,"서울특별시 강남구 신사동 587-1번지 신사동 587-1, 6, 7 ","서울특별시 강남구 도산대로 205 (신사동, 선샤인 관광호텔)",37.5205412662894,127.028746550068,19880730,,1,,,,
574,엘리에나호텔,"서울특별시 강남구 논현동 152번지 외 4필지, 152-1, 2, 3, 4 ","서울특별시 강남구 논현로 645 (논현동, 뉴힐탑호텔)",,,19930205,,1,,,,
575,라비타 호텔,서울특별시 강남구 청담동 132-17번지 ,서울특별시 강남구 영동대로 712 (청담동),37.5214393373707,127.056946163948,19940330,,1,,,,
576,뉴삼화호텔,서울특별시 강남구 신사동 527-2번지 ,"서울특별시 강남구 도산대로1길 83 (신사동, 까사미아호텔)",37.5219901573521,127.019548864743,19980827,,1,,,,
577,호텔 오크우드 프리미어,서울특별시 강남구 삼성동 159번지 ,"서울특별시 강남구 영동대로 511 (삼성동, 트레이드타워)",37.5125211887102,127.058819250731,20011030,,1,,,,
578,에이든 청담호텔,서울특별시 강남구 논현동 60-8 ,서울특별시 강남구 도산대로 216 (논현동),37.5200180694359,127.030481154948,20181226,,1,,,,
579,힐탑관광호텔,서울특별시 강남구 논현동 151-27,"서울특별시 강남구 논현로 647 (논현동, 힐탑관광호텔)",37.5115761528929,127.031029571059,1987-05-01,,2,,2023-03-28,2024-03-30,
580,자이안트,서울특별시 강남구 삼성동 45-10,"서울특별시 강남구 봉은사로 459 (삼성동, 자이언트관광호텔)",37.5124359084607,127.049699029795,1987-06-27,,1,,,,
581,녹스부띠끄관광호텔,서울특별시 강남구 역삼동 677-13,서울특별시 강남구 테헤란로37길 13-13 (역삼동),37.5026990028613,127.03974609871,2011-10-14,,3,2023-04-19,,,
582,IM HOTEL,서울특별시 송파구 방이동 38-10 ,서울특별시 송파구 오금로11길 29-5 (방이동),37.5154122391123,127.11029623267,20161223,,3,20210630,,,
583,HOTEL BELUGA,서울특별시 송파구 석촌동 24번지 ,,37.5062777727338,127.099004329797,20020816,,3,20070921,,,
584,올림피아나 관광호텔,서울특별시 송파구 방이동 44-5번지 ,서울특별시 송파구 위례성대로 10  (방이동),37.5167123065898,127.113519089421,20030422,,3,20080701,,,
585,올림피아나관광호텔,서울특별시 송파구 방이동 44-5번지 ,서울특별시 송파구 위례성대로 10  (방이동),37.5167123065898,127.113519089421,20090903,,3,20091231,,,
586,파티오7,서울특별시 강남구 논현동 74 PATIO7,"서울특별시 강남구 논현로 736, PATIO7 (논현동)",37.5178049749603,127.029255316361,20180914,,1,,,,
587,호텔 더 캐슬(신천),서울특별시 송파구 잠실동 180-10번지 ,서울특별시 송파구 올림픽로12길 4-17 (잠실동),37.5110994136628,127.081809713798,20190725,,1,,,,
588,부티크 호텔 XYM,서울특별시 송파구 가락동 73-1번지 관광호텔 ,"서울특별시 송파구 송이로 104, 관광호텔 (가락동)",37.4968976106718,127.121385806307,20191210,,1,,,,
589,호텔 더 캐슬(방이1),서울특별시 송파구 방이동 36-16번지 호텔 더 캐슬 ,"서울특별시 송파구 올림픽로32길 7, 호텔 더 캐슬 (방이동)",37.5154714013122,127.109071193819,20200102,,1,,,,
590,인터컨티넨탈 서울 코엑스,서울특별시 강남구 삼성동 159,"서울특별시 강남구 영동대로 511 (삼성동, 트레이드타워)",37.5125211887102,127.058819250731,19990921,,1,,,,
591,소피텔 앰배서더 서울 호텔 앤 서비스드 레지던스(가족호텔),서울특별시 송파구 신천동 29-1 KT송파타워 ,"서울특별시 송파구 잠실로 209, KT송파타워 (신천동)",37.513101157342,127.103433202893,20210929,,1,,,,
592,소피텔 앰배서더 서울 호텔 앤 서비스드 레지던스(관광호텔),서울특별시 송파구 신천동 29-1 KT송파타워 ,"서울특별시 송파구 잠실로 209, KT송파타워 (신천동)",37.513101157342,127.103433202893,20210929,,1,,,,
593,호텔인피니,서울특별시 송파구 삼전동 180-3번지 ,"서울특별시 송파구 백제고분로 268 (삼전동, 세경빌딩)",37.5022049395424,127.096082059553,20151224,,1,,,,
594,주식회사 딜라이트 호텔,서울특별시 송파구 방이동 36-5번지 ,"서울특별시 송파구 오금로11길 21-9 (방이동, 대신파크)",37.5153881873915,127.109321617529,20161223,,1,,,,
595,HOTEL 2.4,서울특별시 송파구 방이동 49-2번지 ,"서울특별시 송파구 오금로11길 55-16 (방이동, HOTEL2.4)",37.5157501617837,127.113855614628,20161223,,1,,,,
596,CORNER HOTEL,서울특별시 송파구 석촌동 296-8번지 ,"서울특별시 송파구 송파대로 385 (석촌동, 성룡빌딩)",37.5016370132138,127.109758909615,20161223,,1,,,,
597,호텔 파크하비오,서울특별시 송파구 문정동 618번지 ,"서울특별시 송파구 송파대로 111 (문정동, 파크하비오)",37.4806047633012,127.12366621502,20170523,,1,,,,
598,가락관광호텔,서울특별시 송파구 가락동 98-5번지 ,"서울특별시 송파구 송파대로28길 5 (가락동, 가락관광호텔)",37.4938852813242,127.118720942175,19971001,,1,,,,
599,캘리포니아호텔,서울특별시 송파구 가락동 98-6번지 ,"서울특별시 송파구 송파대로28길 11 (가락동, 캘리포니아관광호텔)",37.4940943765352,127.119107217419,20040101,,1,,,,
600,(주)파로스 관광호텔,서울특별시 송파구 잠실동 180번지 ,"서울특별시 송파구 올림픽로10길 5 (잠실동, 파로스관광호텔)",37.5110881477866,127.08116148919,20121211,,1,,,,
601,24게스트하우스(서울 잠실점),서울특별시 송파구 삼전동 47 2층 부분,"서울특별시 송파구 백제고분로22길 5, 2층 (삼전동, 한강빌딩)",37.5033032801537,127.089406703218,20160719,,1,,,,
602,호텔 더 캐슬(방이2),서울특별시 송파구 방이동 36-2,서울특별시 송파구 올림픽로32길 7-1 (방이동),37.5153482759441,127.10912349893,20210622,,1,,,,
603,투비인관광호텔,서울특별시 강동구 길동 388-2번지 ,서울특별시 강동구 천중로42길 75 (길동),37.5376464152472,127.138614663086,20101118,,3,20190819,,,
604,바고관광호텔,서울특별시 강동구 천호동 324-39 외3필지 ,서울특별시 강동구 천중로 27 (천호동),,,20120907,,1,,,,
605,하모니관광호텔,서울특별시 강동구 길동 387-1번지 ,서울특별시 강동구 천중로40길 63 (길동),37.5382310367818,127.138108053573,20140724,,1,,,,
606,호텔 감(HOTEL GAM),서울특별시 강동구 천호동 452-30번지 ,서울특별시 강동구 천호대로159길 22-36 (천호동),37.5384000040566,127.128669147382,20171226,,1,,,,
607,토요코인 서울 동대문 Ⅱ,서울특별시 중구 광희동2가 14-1,서울특별시 중구 퇴계로 325 (광희동2가),37.5645213027663,127.007868200174,20181120,,1,,,,
608,발리(BALI),서울특별시 강동구 성내동 417-5,서울특별시 강동구 풍성로 210 (성내동),37.5290514710042,127.134907327513,20030128,,1,,,,
609,SM부티크호텔,서울특별시 동대문구 답십리동 494-5,서울특별시 동대문구 천호대로 291-1 (답십리동),37.5667197390588,127.053560681696,20181228,,1,,,,
