,평점,숙박가격,객실수,총후기,경쟁업소_수(1km내),경쟁업소_최단거리(1km내),경쟁업소_최장거리(1km내),경쟁업소_평균거리(1km내),버스정류장_수(1km내),지하철역_수(1km내),버스정류장_최단거리(1km내),버스정류장_평균거리(1km내),지하철역_최단거리(1km내),지하철역_평균거리(1km내),교통유동인구_월평균승차수(1km내),교통유동인구_월평균하차수(1km내),교통유동인구_월평균승하차총계(1km내),관광지_수(1km내),쇼핑몰_수(1km내),관광지_최단거리(1km내),관광지_평균거리(1km내),쇼핑몰_최단거리(1km내),쇼핑몰_평균거리(1km내)
443,4.7,110000,42,9056,25,0.02,0.86,0.15,34,4,0.11,0.64,0.36,0.63,51214.21,52119.82,103334.02,5,1,0.74,0.88,0.32,0.32
444,4.6,100000,50,1044,37,0.03,0.97,0.17,54,6,0.07,0.68,0.32,0.61,79752.97,82379.23,162132.19,11,7,0.51,0.63,0.49,0.71
445,4.3,120000,40,6354,37,0.04,0.78,0.3,47,5,0.12,0.62,0.17,0.57,35277.18,36099.02,71376.21,14,4,0.34,0.81,0.67,0.79
446,4.5,75102,25,1269,25,0.01,0.78,0.21,35,4,0.04,0.62,0.19,0.65,48928.01,49520.16,98448.17,2,1,0.74,0.8,0.26,0.26
447,4.7,110000,41,1379,36,0.0,0.46,0.15,55,6,0.1,0.68,0.37,0.61,80776.85,83363.36,164140.21,12,7,0.46,0.64,0.44,0.67
448,4.4,75102,33,3526,2,0.0,0.97,0.48,43,4,0.05,0.6,0.31,0.57,28267.97,29525.44,57793.41,5,3,0.51,0.69,0.19,0.7
449,4.4,83000,58,1616,25,0.01,0.94,0.19,30,4,0.12,0.61,0.39,0.61,57142.02,58264.31,115406.32,5,1,0.75,0.84,0.42,0.42
450,4.7,110000,33,7402,37,0.02,1.0,0.22,55,6,0.14,0.68,0.35,0.61,86081.44,87709.63,173791.07,12,7,0.39,0.6,0.37,0.62
451,4.7,100000,42,5406,37,0.01,0.87,0.2,49,6,0.12,0.65,0.21,0.63,81175.58,84850.45,166026.03,12,6,0.47,0.72,0.61,0.76
452,4.7,90000,26,5735,25,0.01,0.78,0.22,34,4,0.03,0.61,0.18,0.65,47471.01,49492.04,96963.05,2,1,0.74,0.81,0.26,0.26
453,4.7,100000,40,1452,36,0.02,0.54,0.2,54,6,0.15,0.67,0.35,0.61,86081.44,87709.63,173791.07,12,7,0.39,0.61,0.38,0.62
454,4.5,90000,30,2110,37,0.02,0.85,0.2,49,6,0.1,0.65,0.2,0.62,80910.86,84523.32,165434.18,12,6,0.46,0.73,0.61,0.76
455,4.5,100000,31,5852,25,0.01,0.86,0.16,34,4,0.08,0.64,0.33,0.63,51214.21,52119.82,103334.02,5,1,0.71,0.89,0.33,0.33
456,4.7,85000,24,1014,36,0.01,0.49,0.17,54,6,0.11,0.67,0.39,0.61,87776.45,89382.2,177158.65,12,7,0.43,0.63,0.42,0.65
457,4.6,90000,45,4449,37,0.03,0.94,0.17,53,6,0.04,0.67,0.3,0.61,81384.74,83830.58,165215.32,11,7,0.52,0.65,0.51,0.72
458,4.7,150000,29,24,1,0.67,0.67,0.67,69,4,0.08,0.7,0.1,0.68,32065.79,32456.15,64521.94,4,9,0.4,0.68,0.49,0.81
