,평점,숙박가격,객실수,총후기,경쟁업소_수(1km내),경쟁업소_최단거리(1km내),경쟁업소_최장거리(1km내),경쟁업소_평균거리(1km내),버스정류장_수(1km내),지하철역_수(1km내),버스정류장_최단거리(1km내),버스정류장_평균거리(1km내),지하철역_최단거리(1km내),지하철역_평균거리(1km내),교통유동인구_월평균승차수(1km내),교통유동인구_월평균하차수(1km내),교통유동인구_월평균승하차총계(1km내),관광지_수(1km내),쇼핑몰_수(1km내),관광지_최단거리(1km내),관광지_평균거리(1km내),쇼핑몰_최단거리(1km내),쇼핑몰_평균거리(1km내)
561,4.6,70000,30,524,9,0.0,0.93,0.6,99,1,0.1,0.7,0.66,0.66,23028.49,23826.4,46854.89,8,3,0.21,0.79,0.41,0.62
562,4.7,80000,54,6588,9,0.08,0.44,0.22,84,2,0.11,0.64,0.2,0.5,47802.01,46878.04,94680.05,8,4,0.14,0.68,0.14,0.47
563,4.7,80000,40,5106,30,0.02,0.33,0.2,97,4,0.05,0.62,0.07,0.4,37555.21,36816.59,74371.8,11,7,0.04,0.53,0.04,0.38
564,4.6,80000,35,5628,9,0.05,0.39,0.21,76,2,0.08,0.63,0.19,0.57,53640.82,52867.17,106507.99,9,4,0.19,0.67,0.19,0.54
566,4.5,90000,50,3226,10,0.05,0.52,0.18,60,2,0.07,0.62,0.08,0.1,46329.93,46875.71,93205.64,11,3,0.13,0.73,0.54,0.8
567,4.3,70000,48,11663,30,0.02,0.42,0.22,105,5,0.14,0.65,0.17,0.56,41571.45,40426.16,81997.61,12,7,0.15,0.59,0.15,0.41
568,4.7,70000,28,823,30,0.02,0.47,0.27,103,5,0.09,0.64,0.22,0.57,42290.59,41001.01,83291.6,11,7,0.19,0.6,0.19,0.45
569,3.2,50000,20,3479,6,0.36,0.72,0.5,87,4,0.07,0.69,0.12,0.55,20996.45,20102.8,41099.25,13,4,0.28,0.67,0.28,0.45
570,4.4,75000,42,2659,10,0.02,0.74,0.21,43,2,0.12,0.56,0.28,0.31,61354.12,62471.29,123825.41,7,1,0.27,0.66,0.31,0.31
571,4.6,60000,20,2704,30,0.02,0.44,0.24,106,5,0.09,0.65,0.18,0.56,41648.97,40443.51,82092.48,12,7,0.15,0.61,0.15,0.42
572,4.5,70000,47,13076,9,0.03,0.46,0.17,84,2,0.07,0.67,0.2,0.55,49200.56,48453.84,97654.41,9,4,0.15,0.69,0.15,0.52
573,4.8,75102,26,3798,3,0.51,0.87,0.71,82,3,0.05,0.63,0.47,0.52,17765.09,17767.38,35532.47,12,3,0.15,0.62,0.61,0.83
574,4.5,75000,45,2794,10,0.01,0.61,0.15,46,2,0.06,0.54,0.16,0.18,58306.18,59366.57,117672.75,8,2,0.16,0.67,0.44,0.72
575,4.5,60000,16,102,32,0.04,0.93,0.31,91,4,0.03,0.62,0.19,0.47,39589.21,39312.47,78901.68,13,8,0.19,0.58,0.21,0.5
576,4.4,70000,52,3539,9,0.03,0.44,0.16,80,2,0.05,0.65,0.18,0.55,51612.53,50066.3,101678.83,9,4,0.14,0.69,0.14,0.52
577,4.6,60000,32,2231,30,0.1,0.42,0.21,104,5,0.1,0.64,0.19,0.57,35412.93,34882.87,70295.81,12,7,0.2,0.55,0.06,0.39
578,4.3,55000,21,365,9,0.08,0.52,0.21,76,2,0.07,0.65,0.26,0.6,52439.87,51208.57,103648.44,9,4,0.22,0.68,0.22,0.59
579,4.2,50000,23,3608,30,0.02,0.39,0.22,101,5,0.09,0.64,0.13,0.54,43157.03,41853.68,85010.71,12,7,0.1,0.59,0.1,0.4
580,4.5,50000,15,2633,30,0.03,0.38,0.21,101,4,0.03,0.64,0.22,0.44,35782.7,35416.5,71199.2,16,7,0.07,0.62,0.12,0.4
581,4.5,55000,18,1166,30,0.01,0.38,0.22,104,4,0.06,0.65,0.24,0.44,35380.12,35046.82,70426.95,18,7,0.07,0.65,0.1,0.4
582,4.5,65000,32,4236,9,0.11,0.52,0.4,91,1,0.04,0.67,0.26,0.26,38409.81,37807.23,76217.04,8,4,0.32,0.69,0.07,0.33
583,4.6,60000,30,322,3,0.63,0.78,0.7,118,6,0.04,0.67,0.13,0.63,14676.5,14143.92,28820.42,15,2,0.12,0.72,0.48,0.74
584,3.6,50000,15,1444,30,0.01,0.43,0.25,101,4,0.1,0.65,0.29,0.44,35777.12,35542.68,71319.79,18,8,0.06,0.63,0.06,0.49
585,4.7,60000,33,1732,30,0.01,0.39,0.22,104,4,0.07,0.65,0.25,0.44,35380.12,35046.82,70426.95,18,7,0.06,0.65,0.09,0.41
586,4.1,45000,20,726,30,0.03,0.44,0.25,96,4,0.12,0.64,0.28,0.44,37489.9,37217.38,74707.28,17,8,0.1,0.61,0.04,0.49
587,4.9,70000,60,2582,30,0.02,0.4,0.22,106,5,0.09,0.65,0.15,0.55,41631.89,40449.63,82081.52,12,7,0.12,0.6,0.12,0.41
588,4.6,75102,14,1359,6,0.03,0.96,0.4,82,7,0.04,0.69,0.43,0.76,22613.41,21475.66,44089.07,11,4,0.08,0.73,0.09,0.25
589,3.7,80000,21,286,6,0.03,0.96,0.41,83,7,0.02,0.69,0.46,0.76,22332.67,21355.35,43688.02,11,4,0.1,0.74,0.06,0.27
590,4.4,75102,20,923,6,0.37,0.74,0.54,111,3,0.09,0.68,0.43,0.5,17202.2,17722.61,34924.81,10,4,0.27,0.69,0.59,0.61
591,4.3,45000,16,1482,30,0.02,0.43,0.25,102,4,0.1,0.65,0.28,0.44,35331.89,35059.73,70391.62,18,7,0.04,0.63,0.08,0.42
592,4.0,55000,19,470,9,0.05,0.4,0.17,84,2,0.09,0.65,0.14,0.5,48556.21,47553.97,96110.18,9,4,0.07,0.7,0.07,0.45
593,3.5,40000,15,463,8,0.2,0.98,0.61,95,7,0.05,0.71,0.64,0.75,23441.36,22820.61,46261.97,11,6,0.29,0.79,0.15,0.61
594,2.8,50000,22,688,30,0.02,0.34,0.19,94,5,0.11,0.62,0.14,0.54,38946.19,38547.05,77493.24,13,7,0.18,0.55,0.18,0.39
595,4.6,55000,22,2065,9,0.11,0.41,0.31,81,1,0.04,0.63,0.16,0.16,42289.13,41512.02,83801.15,7,4,0.22,0.63,0.18,0.36
596,4.5,75102,18,1513,30,0.02,0.44,0.24,107,5,0.11,0.65,0.19,0.56,40650.51,39610.39,80260.9,12,7,0.16,0.61,0.16,0.43
597,4.6,75102,20,572,6,0.15,0.87,0.4,86,5,0.06,0.71,0.28,0.69,21622.9,20387.86,42010.76,12,4,0.08,0.72,0.19,0.26
598,4.5,75102,40,660,9,0.05,0.42,0.19,76,2,0.05,0.63,0.19,0.59,53315.41,52485.49,105800.9,10,4,0.18,0.71,0.18,0.54
599,3.5,50000,10,948,30,0.01,0.44,0.25,101,4,0.11,0.65,0.29,0.44,35777.12,35542.68,71319.79,17,8,0.07,0.61,0.06,0.49
600,4.5,50000,17,31,30,0.02,0.32,0.18,94,5,0.09,0.62,0.12,0.53,38946.19,38547.05,77493.24,13,7,0.16,0.56,0.16,0.38
601,4.4,60000,25,119,32,0.11,0.92,0.37,88,4,0.05,0.61,0.2,0.49,40695.0,40904.58,81599.58,13,8,0.09,0.61,0.13,0.53
602,3.0,59000,32,67,30,0.03,0.29,0.18,97,5,0.06,0.62,0.1,0.53,37719.91,37346.52,75066.43,12,7,0.14,0.53,0.14,0.38
603,4.6,80000,30,2116,25,0.04,0.91,0.26,66,3,0.09,0.59,0.3,0.46,36573.23,37160.46,73733.69,8,11,0.04,0.61,0.12,0.35
604,4.3,70000,53,7744,25,0.01,0.99,0.26,61,3,0.07,0.59,0.19,0.42,41659.97,42133.87,83793.84,8,11,0.15,0.61,0.13,0.34
605,4.1,67000,55,17281,19,0.03,0.98,0.37,90,3,0.17,0.7,0.17,0.56,20866.52,19912.91,40779.43,4,6,0.57,0.82,0.46,0.85
606,4.7,80000,50,5646,37,0.06,0.96,0.54,82,3,0.09,0.63,0.44,0.44,32265.94,32695.24,64961.17,6,11,0.24,0.61,0.08,0.42
607,4.7,75000,54,12722,25,0.02,0.96,0.26,67,3,0.09,0.62,0.19,0.4,37598.89,37979.41,75578.3,8,11,0.13,0.63,0.11,0.34
608,4.7,80000,44,5837,25,0.03,0.9,0.25,70,3,0.12,0.62,0.27,0.43,35478.94,35893.98,71372.92,9,11,0.04,0.66,0.14,0.34
609,4.7,63000,20,5855,25,0.01,0.99,0.27,61,3,0.07,0.59,0.18,0.41,41659.97,42133.87,83793.84,8,11,0.15,0.62,0.12,0.34
610,4.7,75000,30,7372,32,0.04,1.0,0.43,75,3,0.12,0.62,0.31,0.41,34276.73,35120.99,69397.72,7,11,0.11,0.62,0.05,0.35
611,4.5,60000,28,3622,25,0.02,0.95,0.25,68,3,0.11,0.62,0.2,0.4,36997.65,37365.44,74363.09,9,11,0.12,0.67,0.11,0.33
612,4.8,60000,34,3610,13,0.49,0.8,0.62,74,2,0.05,0.68,0.42,0.45,14850.82,14466.24,29317.06,4,4,0.51,0.66,0.37,0.7
613,4.7,65000,55,678,23,0.06,0.98,0.47,96,3,0.18,0.7,0.33,0.55,19758.1,19768.14,39526.24,3,6,0.62,0.76,0.6,0.82
614,4.8,75000,37,6639,37,0.06,0.92,0.53,84,4,0.15,0.64,0.44,0.6,34718.03,35032.09,69750.13,6,11,0.25,0.62,0.13,0.44
615,4.4,65000,33,231,20,0.04,0.98,0.41,85,3,0.2,0.68,0.22,0.56,22214.38,21479.17,43693.55,4,6,0.65,0.85,0.51,0.82
616,4.7,65000,25,744,23,0.01,0.97,0.48,95,3,0.13,0.69,0.35,0.54,20237.42,20130.32,40367.74,5,6,0.65,0.85,0.65,0.81
617,4.4,80000,42,2132,24,0.0,0.9,0.66,55,3,0.08,0.69,0.54,0.74,43782.1,43934.07,87716.17,11,10,0.06,0.49,0.1,0.65
618,4.7,75000,29,3368,25,0.0,0.97,0.26,69,3,0.09,0.63,0.17,0.39,37523.68,37916.61,75440.29,8,11,0.15,0.64,0.09,0.34
619,4.5,60000,28,4143,19,0.02,0.96,0.39,87,2,0.11,0.67,0.15,0.37,17487.03,17159.57,34646.6,3,2,0.47,0.71,0.4,0.64
620,4.7,70000,42,4413,25,0.03,0.91,0.25,68,3,0.15,0.61,0.23,0.41,36915.72,37344.11,74259.83,9,11,0.08,0.68,0.1,0.33
621,4.0,70000,18,1627,21,0.27,0.98,0.71,39,3,0.35,0.75,0.7,0.79,56765.37,57204.66,113970.03,11,10,0.21,0.44,0.31,0.74
622,4.6,60000,23,360,28,0.02,0.98,0.36,76,3,0.1,0.62,0.26,0.39,33887.99,34555.25,68443.25,7,11,0.13,0.62,0.06,0.34
623,4.7,70000,35,6226,33,0.3,0.99,0.7,91,3,0.03,0.68,0.2,0.55,21383.81,21572.16,42955.97,7,8,0.45,0.83,0.5,0.79
624,4.8,70000,36,2680,20,0.07,0.92,0.43,90,3,0.07,0.67,0.3,0.56,19719.8,19277.58,38997.39,3,4,0.5,0.7,0.53,0.82
625,4.7,60000,22,4611,29,0.02,0.98,0.38,76,3,0.11,0.62,0.28,0.4,33887.99,34555.25,68443.25,7,11,0.13,0.62,0.08,0.34
626,4.1,77000,50,957,12,0.59,0.99,0.83,74,2,0.09,0.63,0.18,0.48,18077.33,17801.55,35878.88,4,2,0.52,0.6,0.13,0.49
627,4.6,70000,40,2913,20,0.03,0.99,0.39,97,3,0.19,0.72,0.19,0.56,20033.06,19233.39,39266.45,4,6,0.6,0.83,0.48,0.84
628,4.3,55000,21,537,20,0.07,0.96,0.43,91,3,0.05,0.68,0.24,0.57,19210.04,18974.6,38184.64,3,4,0.46,0.69,0.46,0.83
629,4.6,55000,20,3213,24,0.05,0.55,0.34,57,4,0.01,0.61,0.4,0.69,53025.42,51864.92,104890.34,11,11,0.27,0.62,0.14,0.43
630,4.5,65000,30,3473,19,0.03,0.99,0.37,92,3,0.18,0.71,0.18,0.55,21042.88,20164.2,41207.09,3,6,0.61,0.77,0.47,0.83
631,4.6,55000,20,2129,28,0.02,0.98,0.35,75,3,0.13,0.62,0.27,0.4,34358.76,34951.74,69310.5,7,11,0.1,0.61,0.07,0.34
632,4.0,60000,20,1300,4,0.75,0.98,0.9,60,2,0.05,0.59,0.48,0.56,12787.89,12737.09,25524.98,4,1,0.46,0.71,0.75,0.75
633,4.6,70000,38,744,20,0.02,0.98,0.42,89,3,0.11,0.68,0.17,0.58,19698.87,19416.38,39115.25,3,2,0.47,0.7,0.42,0.66
634,4.6,55000,35,1214,19,0.09,0.89,0.35,93,3,0.16,0.7,0.23,0.57,19924.62,19290.89,39215.52,3,5,0.56,0.74,0.5,0.83
635,4.9,60000,28,2694,38,0.05,0.98,0.55,81,4,0.13,0.64,0.47,0.64,35158.88,35581.76,70740.64,6,11,0.3,0.63,0.22,0.5
636,3.4,49000,19,1114,37,0.05,0.86,0.54,87,4,0.18,0.66,0.43,0.63,32642.84,33051.0,65693.84,6,11,0.31,0.64,0.22,0.5
637,4.5,70000,18,119,24,0.05,0.7,0.27,60,3,0.03,0.6,0.14,0.39,43788.83,44154.01,87942.84,8,11,0.2,0.63,0.1,0.35
638,4.0,75102,28,33,1,0.95,0.95,0.95,77,2,0.1,0.67,0.26,0.63,13259.9,13013.27,26273.16,3,3,0.28,0.51,0.14,0.44
639,4.3,55000,25,10,1,0.95,0.95,0.95,77,3,0.06,0.6,0.12,0.56,19665.78,19127.01,38792.79,4,3,0.35,0.54,0.08,0.49
640,4.3,75102,26,640,25,0.05,0.96,0.25,64,3,0.09,0.6,0.25,0.44,38844.19,39348.46,78192.65,8,11,0.09,0.6,0.12,0.34
641,3.1,45000,20,7,25,0.03,0.89,0.25,72,3,0.14,0.62,0.26,0.42,34927.49,35332.75,70260.24,9,11,0.06,0.67,0.11,0.34
642,4.7,75102,20,456,23,0.01,0.96,0.48,95,3,0.11,0.69,0.35,0.54,20237.42,20130.32,40367.74,5,6,0.66,0.85,0.66,0.81
643,4.3,55000,28,4,24,0.05,0.59,0.35,53,4,0.05,0.6,0.38,0.69,57369.83,56164.37,113534.2,11,11,0.3,0.61,0.11,0.44
644,4.7,70000,28,3212,20,0.02,0.92,0.4,77,2,0.08,0.62,0.74,0.83,27606.48,27034.53,54641.01,4,2,0.46,0.73,0.43,0.71
645,4.7,70000,42,1709,21,0.0,0.77,0.33,82,2,0.06,0.72,0.31,0.61,26915.21,26102.23,53017.44,7,3,0.71,0.85,0.28,0.63
646,4.7,65000,60,3702,20,0.06,0.92,0.43,60,1,0.11,0.69,0.57,0.57,30990.95,29231.0,60221.95,10,5,0.29,0.74,0.53,0.59
647,4.9,65000,54,936,19,0.02,0.91,0.59,85,1,0.05,0.64,0.95,0.95,11510.56,11502.81,23013.37,5,1,0.49,0.66,0.65,0.65
648,4.6,95000,59,9694,21,0.04,0.81,0.31,71,2,0.12,0.7,0.33,0.64,30398.94,29597.77,59996.71,7,3,0.69,0.83,0.31,0.61
649,4.8,70000,40,2449,20,0.07,0.81,0.42,58,1,0.16,0.7,0.61,0.61,32543.97,31338.22,63882.18,11,5,0.26,0.73,0.47,0.62
650,4.6,65000,30,10970,21,0.02,0.84,0.31,78,2,0.09,0.7,0.27,0.62,28842.6,27712.94,56555.54,7,3,0.75,0.84,0.25,0.6
651,4.7,70000,41,1142,21,0.01,0.79,0.31,79,2,0.08,0.71,0.31,0.61,27868.27,27001.0,54869.27,6,3,0.71,0.82,0.28,0.62
652,4.8,70000,36,8227,20,0.04,0.87,0.39,78,2,0.03,0.63,0.78,0.83,27260.52,26697.98,53958.5,3,2,0.4,0.62,0.47,0.72
653,4.4,90000,16,507,15,0.29,0.92,0.78,80,3,0.03,0.69,0.15,0.55,28631.78,27668.83,56300.6,7,3,0.5,0.75,0.47,0.8
654,4.7,75102,34,3175,20,0.07,0.76,0.44,59,1,0.21,0.72,0.65,0.65,33251.72,32322.5,65574.22,11,5,0.25,0.71,0.41,0.64
655,4.8,70000,51,577,21,0.02,0.82,0.31,79,2,0.08,0.71,0.27,0.61,28027.5,27058.31,55085.81,6,3,0.75,0.82,0.25,0.61
656,4.8,57000,40,3824,19,0.02,0.93,0.6,85,1,0.06,0.64,0.93,0.93,11510.56,11502.81,23013.37,5,1,0.48,0.65,0.63,0.63
658,4.5,75000,36,9087,21,0.04,0.98,0.42,79,2,0.04,0.64,0.82,0.86,26950.53,26405.8,53356.33,3,2,0.37,0.61,0.51,0.75
659,4.8,70000,44,4721,21,0.04,0.86,0.31,77,2,0.14,0.71,0.29,0.64,28742.17,27871.55,56613.72,7,3,0.74,0.82,0.28,0.59
660,4.7,65000,28,1891,21,0.03,0.79,0.33,87,2,0.05,0.73,0.28,0.6,25533.93,24723.18,50257.11,7,3,0.74,0.85,0.25,0.62
661,4.8,60000,25,3894,20,0.05,0.91,0.43,78,1,0.03,0.64,0.81,0.81,20614.99,20446.78,41061.77,3,1,0.57,0.71,0.48,0.48
662,4.6,52000,29,6158,21,0.07,0.98,0.45,70,1,0.08,0.61,0.88,0.88,21834.34,21403.11,43237.45,3,1,0.54,0.71,0.54,0.54
663,4.5,75102,69,2915,5,0.11,0.48,0.23,73,2,0.11,0.64,0.18,0.58,15631.44,16322.59,31954.03,7,1,0.22,0.61,0.28,0.28
664,4.5,65000,28,266,4,0.07,0.39,0.27,66,6,0.03,0.62,0.23,0.59,13837.02,13625.51,27462.53,5,3,0.42,0.58,0.67,0.68
666,4.7,65000,30,334,20,0.05,0.91,0.4,60,1,0.17,0.69,0.51,0.51,30566.56,29443.16,60009.72,9,5,0.34,0.74,0.55,0.6
667,4.4,50000,29,333,20,0.02,0.9,0.39,76,2,0.05,0.62,0.78,0.89,27094.53,26490.51,53585.05,3,1,0.5,0.67,0.46,0.46
668,4.7,50000,20,535,20,0.04,0.89,0.39,76,2,0.09,0.62,0.77,0.86,27642.89,26933.03,54575.92,3,1,0.46,0.64,0.45,0.45
669,3.9,75102,30,536,4,0.18,0.39,0.28,70,7,0.09,0.64,0.06,0.58,13215.67,13061.81,26277.48,6,4,0.48,0.72,0.56,0.67
670,4.8,75000,50,5310,10,0.14,0.98,0.48,89,2,0.05,0.64,0.78,0.84,10875.13,11005.57,21880.7,5,2,0.45,0.64,0.48,0.7
671,4.8,75102,28,1763,23,0.31,0.96,0.79,68,1,0.06,0.72,0.76,0.76,20406.53,20317.92,40724.45,9,3,0.21,0.63,0.36,0.56
672,4.8,70000,25,509,2,0.31,0.77,0.54,62,1,0.1,0.66,0.71,0.71,20035.3,21356.06,41391.36,10,3,0.3,0.62,0.23,0.55
673,4.7,70000,80,5059,20,0.0,0.85,0.31,71,1,0.04,0.7,0.25,0.25,24033.86,23705.71,47739.57,7,4,0.63,0.79,0.3,0.62
674,4.7,50000,28,2021,19,0.02,0.95,0.61,87,1,0.06,0.64,0.91,0.91,11482.77,11442.26,22925.02,5,1,0.47,0.65,0.62,0.62
675,4.7,65000,33,1332,20,0.02,0.93,0.4,78,2,0.07,0.63,0.73,0.81,27866.82,27089.73,54956.55,4,2,0.45,0.72,0.42,0.7
677,4.8,70000,57,5620,19,0.05,0.89,0.57,90,1,0.06,0.65,0.96,0.96,11378.72,11534.84,22913.56,5,1,0.43,0.63,0.68,0.68
678,4.8,50000,53,2835,21,0.08,0.89,0.42,77,2,0.12,0.63,0.9,0.92,26661.98,25591.4,52253.37,4,1,0.32,0.7,0.6,0.6
679,4.9,50000,35,1406,20,0.03,0.89,0.41,76,1,0.0,0.63,0.81,0.81,21281.32,21273.33,42554.65,3,1,0.53,0.69,0.48,0.48
680,4.9,75102,30,1376,13,0.12,0.88,0.71,88,2,0.04,0.68,0.1,0.53,23816.89,24042.03,47858.92,5,2,0.25,0.54,0.29,0.51
681,4.6,75102,15,151,4,0.76,0.89,0.82,61,2,0.08,0.61,0.21,0.5,23216.26,23023.36,46239.62,3,3,0.49,0.7,0.29,0.59
682,4.6,60000,27,4541,21,0.02,0.75,0.34,82,2,0.07,0.72,0.33,0.61,27257.39,26241.9,53499.29,7,3,0.69,0.85,0.3,0.64
683,4.7,70000,18,111,4,0.26,0.69,0.53,57,2,0.01,0.63,0.11,0.49,28800.93,29652.92,58453.85,21,7,0.19,0.6,0.19,0.36
684,4.3,45000,29,3321,20,0.05,0.86,0.39,60,1,0.17,0.7,0.53,0.53,31283.32,30300.47,61583.79,10,5,0.33,0.76,0.54,0.61
685,4.0,55000,22,509,5,0.17,0.98,0.42,65,7,0.13,0.61,0.24,0.55,14621.88,14283.81,28905.68,6,4,0.31,0.58,0.39,0.56
687,4.3,75102,40,204,2,0.68,0.92,0.8,84,2,0.12,0.73,0.35,0.57,26391.74,25093.21,51484.95,14,3,0.14,0.62,0.55,0.72
689,3.8,55000,33,2164,20,0.06,0.96,0.54,57,1,0.04,0.68,0.71,0.71,32649.09,30724.48,63373.58,12,5,0.16,0.71,0.45,0.58
690,4.8,50000,28,1041,20,0.03,0.95,0.42,79,2,0.04,0.63,0.7,0.79,27559.05,26853.45,54412.51,4,2,0.46,0.71,0.4,0.67
691,4.7,75102,18,3143,21,0.01,0.8,0.31,78,2,0.09,0.71,0.31,0.62,28367.8,27367.15,55734.95,6,3,0.71,0.82,0.29,0.62
692,4.4,45000,23,370,20,0.02,0.88,0.39,74,1,0.03,0.62,0.8,0.8,22110.33,21916.28,44026.61,3,1,0.5,0.67,0.48,0.48
693,3.7,55000,18,133,4,0.26,0.86,0.61,67,2,0.08,0.65,0.18,0.58,30243.62,30830.86,61074.48,23,7,0.3,0.67,0.22,0.49
694,2.7,75102,20,24,4,0.17,0.22,0.2,65,7,0.02,0.6,0.24,0.56,14693.19,14388.63,29081.82,6,3,0.43,0.6,0.5,0.52
695,4.2,65000,17,836,3,0.29,0.85,0.61,78,3,0.19,0.66,0.14,0.5,29503.76,29604.6,59108.36,6,2,0.36,0.56,0.59,0.74
696,4.5,65000,15,36,21,0.02,0.82,0.32,84,2,0.07,0.72,0.26,0.6,26447.06,25549.47,51996.52,6,3,0.76,0.82,0.24,0.61
697,4.8,75102,17,923,20,0.06,0.91,0.5,58,1,0.07,0.69,0.7,0.7,32913.86,30910.04,63823.89,12,5,0.16,0.72,0.5,0.6
698,2.8,40000,9,4,13,0.12,0.77,0.6,84,2,0.08,0.66,0.18,0.56,24890.8,24897.53,49788.34,6,2,0.17,0.67,0.17,0.51
699,4.3,60000,16,8,5,0.43,0.62,0.49,78,2,0.05,0.67,0.31,0.55,21157.94,21688.2,42846.14,7,2,0.42,0.71,0.54,0.64
700,4.7,75102,40,2721,5,0.02,0.68,0.29,106,3,0.13,0.69,0.68,0.73,27002.34,27152.41,54154.75,18,7,0.17,0.67,0.46,0.69
701,4.7,70000,45,4726,17,0.02,0.99,0.46,134,3,0.03,0.63,0.53,0.62,23682.04,23662.85,47344.9,5,12,0.21,0.45,0.19,0.43
702,4.7,64000,180,12084,15,0.0,0.98,0.8,119,1,0.08,0.64,0.53,0.53,11346.77,10885.02,22231.79,14,15,0.28,0.64,0.3,0.77
703,4.7,70000,43,4610,11,0.06,0.98,0.58,102,1,0.11,0.6,0.99,0.99,14180.69,14261.33,28442.02,17,9,0.27,0.65,0.26,0.43
704,4.8,58000,30,549,15,0.13,0.98,0.66,116,1,0.06,0.61,0.8,0.8,13367.08,13222.44,26589.52,16,11,0.05,0.55,0.1,0.46
705,4.6,70000,65,5895,20,0.0,0.98,0.49,145,3,0.08,0.66,0.75,0.8,23019.18,22957.86,45977.04,6,12,0.22,0.6,0.22,0.51
706,4.7,95000,60,11167,20,0.23,0.99,0.71,102,1,0.06,0.64,0.48,0.48,36511.84,37144.0,73655.84,6,5,0.41,0.66,0.39,0.72
707,4.7,65000,58,5209,18,0.02,1.0,0.47,135,3,0.05,0.63,0.56,0.65,23641.72,23510.26,47151.99,5,12,0.18,0.46,0.18,0.43
708,4.7,65000,28,7323,18,0.02,1.0,0.48,136,3,0.03,0.64,0.54,0.63,23643.76,23669.86,47313.63,5,12,0.2,0.45,0.19,0.43
709,4.8,80000,41,3130,2,0.34,0.37,0.35,96,1,0.08,0.56,0.82,0.82,11764.95,10455.22,22220.17,14,6,0.16,0.64,0.11,0.46
710,4.7,110000,33,2065,13,0.08,0.97,0.6,97,1,0.05,0.63,0.23,0.23,36606.61,37417.12,74023.73,7,4,0.5,0.71,0.3,0.63
711,4.5,65000,31,1917,23,0.47,0.92,0.71,131,1,0.07,0.68,1.0,1.0,31610.73,31565.77,63176.49,12,13,0.44,0.72,0.44,0.83
712,4.7,65000,40,3759,19,0.0,0.97,0.47,134,3,0.05,0.63,0.74,0.77,24592.38,24260.51,48852.89,6,12,0.28,0.6,0.26,0.51
713,4.7,70000,33,2574,5,0.02,0.71,0.3,109,3,0.15,0.7,0.69,0.74,26427.71,26805.47,53233.18,18,7,0.15,0.68,0.47,0.71
715,4.3,60000,50,1349,19,0.05,0.97,0.46,146,3,0.08,0.65,0.69,0.76,23000.26,23027.06,46027.32,6,12,0.16,0.58,0.15,0.48
716,4.8,75000,77,1625,7,0.0,0.82,0.59,96,1,0.06,0.71,0.72,0.72,13703.67,14106.45,27810.11,22,10,0.14,0.69,0.17,0.53
717,4.7,70000,33,2766,5,0.02,0.7,0.29,108,3,0.16,0.7,0.67,0.73,26545.03,26942.91,53487.94,18,7,0.17,0.68,0.45,0.7
718,4.7,75000,57,7494,13,0.13,0.98,0.61,109,1,0.08,0.6,0.92,0.92,13603.77,13745.58,27349.35,16,10,0.14,0.61,0.21,0.46
719,4.7,60000,47,4567,11,0.03,0.97,0.45,92,1,0.07,0.66,0.2,0.2,8478.98,8335.33,16814.31,3,3,0.23,0.68,0.2,0.61
720,4.7,70000,35,2416,5,0.06,0.76,0.33,117,3,0.16,0.72,0.65,0.73,25316.17,25586.47,50902.64,17,7,0.19,0.68,0.43,0.72
721,4.5,75102,29,3494,19,0.02,0.97,0.48,142,3,0.08,0.64,0.65,0.75,22986.7,23200.93,46187.63,6,12,0.11,0.57,0.11,0.46
722,4.4,75102,32,159,11,0.08,0.9,0.54,98,1,0.07,0.64,0.15,0.15,36804.18,37691.11,74495.29,7,4,0.45,0.73,0.28,0.6
723,4.6,70000,32,3800,1,0.94,0.94,0.94,95,1,0.1,0.7,0.66,0.66,14848.21,14856.43,29704.64,9,4,0.37,0.75,0.27,0.45
724,4.3,45000,29,772,8,0.02,0.54,0.3,84,2,0.08,0.68,0.35,0.61,10895.33,10839.63,21734.96,3,1,0.23,0.67,0.32,0.32
725,4.6,65000,26,3982,8,0.02,0.51,0.29,85,2,0.1,0.68,0.33,0.61,10788.71,10721.41,21510.12,3,1,0.2,0.67,0.3,0.3
726,4.6,50000,11,124,13,0.55,0.94,0.69,107,3,0.1,0.61,0.11,0.29,27291.77,26571.55,53863.32,6,12,0.06,0.47,0.32,0.58
727,4.9,75102,14,1087,5,0.11,1.0,0.65,88,2,0.08,0.62,0.27,0.63,11403.37,11159.46,22562.83,2,5,0.53,0.72,0.39,0.52
728,3.2,50000,12,177,20,0.15,0.97,0.71,126,1,0.05,0.62,0.83,0.83,13140.93,13428.16,26569.09,15,12,0.1,0.57,0.21,0.55
730,4.3,50000,23,31,5,0.11,0.99,0.66,92,1,0.12,0.62,0.29,0.29,11895.48,11370.36,23265.84,4,6,0.43,0.81,0.39,0.55
732,4.5,45000,22,82,8,0.02,0.56,0.32,83,2,0.07,0.67,0.37,0.62,11025.38,10882.93,21908.31,3,1,0.24,0.68,0.34,0.34
733,4.3,40000,22,43,8,0.15,0.34,0.22,85,1,0.04,0.67,0.19,0.19,6920.01,6787.16,13707.17,2,2,0.05,0.42,0.16,0.57
734,2.9,50000,35,651,19,0.02,0.98,0.48,143,3,0.08,0.65,0.64,0.73,22846.76,22983.74,45830.5,6,12,0.12,0.57,0.11,0.46
